Name1,Grp,MAC,Pre-Maint,Post-Maint
DGC#07923,ECOMV107816L177135,501CB0D96ABE,REGISTERED,REGISTERED
DGC#12232,ECOMV107816L177299,501CB0D95BD2,REGISTERED,REGISTERED
DGC#12293,ECOMV107816L177303,501CB0D97034,n/a,REGISTERED
DGC#12306,ECOMV107816L177304,501CB0D974A2,REGISTERED,REGISTERED
DGC#12577,ECOMV107816L177330,501CB0D95920,REGISTERED,REGISTERED
DGC#13013,ECOMV107816L177365,501CB0D9773E,REGISTERED,REGISTERED
DGC#13302,ECOMV107816L177385,501CB0D96F84,REGISTERED,REGISTERED
DGC#13611,ECOMV107816L177404,501CB0D8BE0A,REGISTERED,REGISTERED
DGC#14009,ECOMV107816L177440,501CB0D954B2,REGISTERED,REGISTERED
DGC#14063,ECOMV107816L177442,501CB0D96E10,REGISTERED,REGISTERED
DGC#14254,ECOMV107816L177467,501CB0D9FD2A,REGISTERED,REGISTERED
DGC#14773,ECOMV107816L177520,501CB0D9FD1E,REGISTERED,REGISTERED
DGC#16117,ECOMV107816L121175,007686EA8E0E,n/a,n/a
DGC#16506,ECOMV107816L177671,501CB0D8C9E4,REGISTERED,REGISTERED
DGC#17114,ECOMV107816L177719,501CB0D8BDCA,REGISTERED,REGISTERED
DGC#20606,ECOMV107816L178265,501CB0D9DBFA,REGISTERED,REGISTERED
DGC#07442,ECOMV107816L178312,501CB0D8C67C,REGISTERED,REGISTERED
DGC#09162,ECOMV107816L178341,501CB0D972CC,REGISTERED,REGISTERED
DGC#10497,ECOMV107816L178360,501CB0D94AE2,REGISTERED,REGISTERED
DGC#11392,ECOMV107816L178377,501CB0D949CC,REGISTERED,REGISTERED
DGC#11738,ECOMV107816L178383,501CB0D94C22,REGISTERED,REGISTERED
DGC#11895,ECOMV107816L178390,501CB0D94A4E,REGISTERED,REGISTERED
DGC#14882,ECOMV107816L178493,501CB0D8C1AE,REGISTERED,REGISTERED
DGC#03332,ECOMV107816L180274,501CB0D9E4E4,REGISTERED,REGISTERED
DGC#10415,ECOMV107816L180347,501CB0D8B6D2,REGISTERED,REGISTERED
DGC#10658,ECOMV107816L180351,501CB0D978C4,REGISTERED,REGISTERED
DGC#16719,ECOMV107816L180455,501CB0D8C16A,REGISTERED,REGISTERED
DGC#08269,ECOMV107816L180892,501CB0D8DAC8,REGISTERED,REGISTERED
DGC#13401,ECOMV107816L180963,501CB0D9E07E,REGISTERED,REGISTERED
DGC#14563,ECOMV107816L180992,BCD295D8AD88,REGISTERED,n/a
DGC#15468,ECOMV107816L181164,501CB0D9D5B8,REGISTERED,REGISTERED
DGC#16470,ECOMV107816L181190,501CB0D9E146,REGISTERED,REGISTERED
DGC#00906,ECOMV107816L181765,501CB0D9D72C,REGISTERED,REGISTERED
